"EffectiveDate";"Status";"SubService";"ExpressRoute";"Protocol";"Port";"Value";"Guid";"PublicationDate";"DescriptionIsParsable";"OperationType";"QuickDescription"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.103.0/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.144.64/26";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.145.192/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.147.0/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.151.192/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.152.128/25";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.153.0/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.153.64/26";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.154.64/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
"2/19/2016 12:00:00 AM";"Required";"SharePoint Online";"False";"TCP";"443";"157.55.225.160/27";"7efa204c-fc40-42af-9601-8ef8105dfb30";"2/18/2016 4:34:17 PM";"True";"Removing";"Removing 52 Old IP_Sets"
